id,x,y,z,yaw,pitch,roll
1,-284.885,226.183,-12.4915,2.4494,0.00995487,0.0296571
2,-285.086,226.339,-12.5422,2.44789,0.0107322,0.0341474
3,-285.311,226.522,-12.5631,2.44793,0.0104863,0.0338613
4,-285.535,226.724,-12.579,2.44841,0.00980332,0.0319912
5,-285.76,226.921,-12.5872,2.44926,0.00885263,0.0305968
6,-285.981,227.115,-12.5953,2.44975,0.00869233,0.0304026
7,-286.191,227.305,-12.5966,2.44922,0.00822031,0.0306789
8,-286.403,227.488,-12.5942,2.44955,0.00754299,0.0314823
9,-286.61,227.673,-12.5953,2.4505,0.00647541,0.0316792
10,-286.815,227.857,-12.5916,2.45069,0.00508284,0.0313769
11,-287.019,228.034,-12.5861,2.45097,0.002171,0.0309799
12,-287.204,228.196,-12.5844,2.45078,-0.00155315,0.0319148
13,-287.392,228.363,-12.5942,2.45026,-0.00418115,0.0336583
14,-287.591,228.533,-12.604,2.44987,-0.00450293,0.0356847
15,-287.765,228.681,-12.6119,2.45013,-0.00382524,0.0363667
16,-287.946,228.832,-12.6129,2.45046,-0.00260666,0.0376886
17,-288.126,228.986,-12.6187,2.45089,-0.00217458,0.0386396
18,-288.306,229.136,-12.6294,2.45128,-0.000569613,0.039008
19,-288.478,229.28,-12.6391,2.45208,0.00216764,0.038813
20,-288.644,229.426,-12.6439,2.45231,0.00407751,0.0376703
21,-288.807,229.565,-12.6472,2.45257,0.00465236,0.0361997
22,-288.965,229.708,-12.6512,2.4533,0.00428367,0.0356779
23,-289.112,229.838,-12.6562,2.45312,0.00429658,0.0365694
24,-289.273,229.979,-12.6622,2.45285,0.00663875,0.0378625
25,-289.412,230.103,-12.666,2.45338,0.00880043,0.0390678
26,-289.566,230.238,-12.6721,2.45432,0.0109628,0.0409344
27,-289.7,230.354,-12.6719,2.45442,0.0121973,0.0423182
28,-289.847,230.476,-12.675,2.45372,0.0122027,0.0426718
29,-289.989,230.596,-12.6757,2.45449,0.0110184,0.0426235
30,-290.127,230.716,-12.6789,2.45541,0.0089633,0.0425672
31,-290.263,230.829,-12.6783,2.45557,0.00758083,0.0418898
32,-290.395,230.944,-12.6749,2.45616,0.00565244,0.040654
33,-290.524,231.06,-12.6736,2.45595,0.00243499,0.0404531
34,-290.653,231.163,-12.6696,2.45546,-0.000109862,0.0405646
35,-290.776,231.27,-12.6529,2.45546,-0.00494812,0.040684
36,-290.903,231.38,-12.6456,2.45477,-0.0116788,0.0406357
37,-291.027,231.491,-12.663,2.4546,-0.0143222,0.0395933
38,-291.147,231.597,-12.6922,2.45476,-0.0116998,0.0396175
39,-291.281,231.704,-12.7123,2.45528,-0.00541197,0.0405528
40,-291.401,231.807,-12.7135,2.45588,0.000378989,0.0424006
41,-291.512,231.912,-12.7127,2.45536,0.000806502,0.0435973
42,-291.631,232.026,-12.7151,2.45432,-0.000853746,0.0456351
43,-291.756,232.136,-12.7135,2.45307,-0.00147517,0.0492337
44,-291.886,232.244,-12.7114,2.45281,-0.000459884,0.052498
45,-292.012,232.348,-12.7115,2.45342,0.0011798,0.0526679
46,-292.136,232.45,-12.7171,2.45433,0.00323561,0.0507
47,-292.25,232.554,-12.7224,2.45514,0.00470061,0.04765
48,-292.363,232.66,-12.7278,2.45574,0.00421937,0.0458144
49,-292.479,232.767,-12.7295,2.45484,0.00296265,0.0458779
50,-292.597,232.866,-12.7299,2.45425,0.00270037,0.0469553
51,-292.713,232.965,-12.7275,2.45457,0.0036301,0.0485423
52,-292.831,233.069,-12.7291,2.45398,0.00407835,0.0486863
53,-292.951,233.175,-12.7327,2.45326,0.00470385,0.0473274
54,-293.071,233.28,-12.7335,2.45426,0.00673086,0.0465725
55,-293.2,233.389,-12.7303,2.45544,0.00839481,0.0469401
56,-293.333,233.506,-12.7289,2.45527,0.00699077,0.0456622
57,-293.466,233.629,-12.7328,2.45419,0.0014897,0.0426457
58,-293.597,233.751,-12.7424,2.45421,-0.0016887,0.0400914
59,-293.726,233.867,-12.7404,2.45581,-0.00243854,0.0412644
60,-293.859,233.983,-12.734,2.45707,-0.00348247,0.0434776
61,-293.993,234.098,-12.7341,2.45707,-0.0050233,0.0452644
62,-294.127,234.218,-12.7388,2.45595,-0.00650573,0.0457882
63,-294.258,234.334,-12.7405,2.45499,-0.00681327,0.0467819
64,-294.388,234.444,-12.7413,2.45525,-0.00654244,0.0477891
65,-294.521,234.56,-12.7421,2.45457,-0.00611415,0.0473809
66,-294.654,234.676,-12.74,2.45406,-0.00508352,0.0462109
67,-294.785,234.791,-12.7413,2.45477,-0.00488496,0.0446058
68,-294.916,234.908,-12.7389,2.4553,-0.00482209,0.0439703
69,-295.047,235.026,-12.7389,2.45474,-0.00495518,0.04336
70,-295.173,235.138,-12.7391,2.45491,-0.00511595,0.0433117
71,-295.305,235.252,-12.7378,2.45484,-0.00513363,0.0438592
72,-295.433,235.369,-12.7393,2.45425,-0.00539824,0.0442442
73,-295.561,235.481,-12.7437,2.45347,-0.00575947,0.0445218
74,-295.694,235.597,-12.7443,2.45309,-0.0060921,0.0448968
75,-295.829,235.71,-12.7463,2.45364,-0.00640653,0.0452285
76,-295.964,235.828,-12.7469,2.45335,-0.00632964,0.0447094
77,-296.103,235.946,-12.7473,2.45248,-0.0059253,0.0440797
78,-296.241,236.066,-12.7503,2.45252,-0.00578762,0.0427922
79,-296.378,236.19,-12.761,2.45347,-0.0057698,0.0414068
80,-296.517,236.315,-12.7684,2.45341,-0.00512457,0.0410237
81,-296.657,236.438,-12.7721,2.45313,-0.0037527,0.0410106
82,-296.797,236.558,-12.7737,2.45352,-0.00277024,0.0421391
83,-296.935,236.68,-12.776,2.45357,-0.00263859,0.0426344
84,-297.075,236.805,-12.779,2.4533,-0.0026408,0.0423867
85,-297.214,236.928,-12.7819,2.45323,-0.00230454,0.0420094
86,-297.357,237.051,-12.7824,2.45279,-0.00141288,0.0420357
87,-297.499,237.177,-12.7817,2.45252,-0.000879581,0.0422154
88,-297.643,237.302,-12.7839,2.45317,-0.00155814,0.0422669
89,-297.787,237.423,-12.7858,2.45404,-0.00219678,0.042889
90,-297.936,237.546,-12.7842,2.45392,-0.00257924,0.0436116
91,-298.095,237.683,-12.7901,2.45397,-0.00308112,0.0427368
92,-298.233,237.803,-12.7903,2.45458,-0.00351398,0.0425201
93,-298.389,237.933,-12.7937,2.45536,-0.00377819,0.0419703
94,-298.523,238.054,-12.7979,2.45492,-0.00401539,0.0411746
95,-298.676,238.19,-12.7991,2.45472,-0.00467736,0.0396499
96,-298.812,238.31,-12.798,2.45511,-0.00564465,0.0384807
97,-298.97,238.447,-12.7999,2.45548,-0.00717642,0.037201
98,-299.113,238.567,-12.7981,2.45624,-0.00861955,0.0365659
99,-299.274,238.705,-12.802,2.45723,-0.00912287,0.0349439
100,-299.43,238.84,-12.8099,2.45741,-0.00835274,0.0339117
101,-299.567,238.963,-12.8126,2.45794,-0.00776346,0.033721
102,-299.727,239.099,-12.8179,2.45847,-0.00684659,0.0351109
103,-299.871,239.216,-12.8198,2.45861,-0.00613083,0.0362901
104,-300.023,239.337,-12.8153,2.45918,-0.00635159,0.0361352
105,-300.181,239.475,-12.8187,2.45962,-0.00650212,0.034489
106,-300.324,239.597,-12.8214,2.46002,-0.00632392,0.0331299
107,-300.47,239.727,-12.8243,2.46041,-0.00579009,0.0314893
108,-300.632,239.867,-12.8236,2.46129,-0.00492447,0.0294553
109,-300.777,239.987,-12.825,2.46204,-0.00485588,0.027892
110,-300.929,240.115,-12.8263,2.46232,-0.00493995,0.0266017
111,-301.086,240.242,-12.8295,2.46246,-0.00509969,0.0261753
112,-301.243,240.372,-12.8266,2.46235,-0.00492678,0.0254135
113,-301.412,240.517,-12.8278,2.46273,-0.00374062,0.0230683
114,-301.576,240.65,-12.8289,2.46588,-0.00345232,0.0212257
115,-301.728,240.769,-12.8231,2.46797,-0.00489308,0.0202342
116,-301.902,240.909,-12.8236,2.47004,-0.00599834,0.0176622
117,-302.056,241.032,-12.8268,2.47279,-0.00640221,0.0165557
118,-302.229,241.173,-12.8269,2.47495,-0.00634654,0.0167438
119,-302.385,241.294,-12.8354,2.47759,-0.00594546,0.0158003
120,-302.554,241.416,-12.8388,2.47993,-0.00565697,0.016011
121,-302.721,241.547,-12.8459,2.48162,-0.00541729,0.0162106
122,-302.888,241.674,-12.8464,2.48392,-0.00553265,0.0158857
123,-303.061,241.803,-12.843,2.48643,-0.00551051,0.0154643
124,-303.23,241.93,-12.8449,2.48958,-0.00540852,0.0148053
125,-303.399,242.054,-12.8464,2.49263,-0.00556894,0.0139196
